ZipCode,DogBreed
15136,MIXED
15236,MIXED
15108,MIXED
15228,MIXED
15068,MIXED
15146,MIXED
15137,MIXED
15116,MIXED
15104,MIXED
15227,MIXED
15143,MIXED
15237,MIXED
15229,MIXED
15037,MIXED
15238,MIXED
15044,MIXED
15045,MIXED
15084,MIXED
15106,MIXED
15101,MIXED
15202,MIXED
15235,MIXED
15220,MIXED
15212,MIXED
15065,MIXED
15209,MIXED
15205,MIXED
15025,MIXED
15221,MIXED
15216,MIXED
15218,MIXED
15239,MIXED
15102,MIXED
15017,MIXED
15215,MIXED
15147,MIXED
15071,MIXED
15132,MIXED
15026,MIXED
15241,MIXED
15120,MIXED
15133,MIXED
15122,MIXED
15057,MIXED
15031,MIXED
15223,MIXED
15210,MIXED
15131,MIXED
15024,MIXED
15234,MIXED
15144,MIXED
15145,MIXED
32081,BOXER
15140,MIXED
15090,MIXED
15135,MIXED
15129,MIXED
15049,MIXED
15203,MIXED
15332,MIXED
15243,MIXED
15112,MIXED
15206,MIXED
15214,MIXED
15063,MIXED
15007,LABRADOR RETRIEVER
15014,MIXED
15139,MIXED
15047,MIXED
15201,LAB MIX
15110,MIXED
15015,LABRADOR RETRIEVER
15030,MIXED
15003,MIXED
15126,MIXED
15225,MIXED
15046,MIXED
15076,MIXED
15211,MIXED
15142,MIXED
15083,LABRADOR RETRIEVER
15148,MIXED
15035,MIXED
15082,MIXED
15034,MIXED
15018,MIXED
15232,LABRADOR RETRIEVER
15056,MIXED
15226,MIXED
15064,MIXED
15088,MIXED
16046,LABRADOR RETRIEVER
16059,MIXED
15207,MIXED
15321,MIXED
15005,MIXED
15085,MIXED
15062,SCHIPPERKE
15020,CHIHUAHUA
77351,GER SHEPHERD MIX
15127,MIXED
29928,LABRADOR RETRIEVER
15091,MIXED
15626,TERRIER MIX
15134,MIXED
15051,MIXED
15217,MIXED
15208,MIXED
15028,MIXED
15075,MIXED
35907,SCHNOODLE
15219,MIXED
30064,LABRADOODLE
15086,MIXED
15006,MIXED
15668,MIXED
15222,COCKER SPANIEL
16233,DOBERMAN PINSCHER
15317,SHELTAND SHEEPDOG
15642,LABRADOR RETRIEVER
19020,CHIHUAHUA
23059,BORD COLLIE MIX
15032,MIXED
15330,OLD ENG SHEEPDOG
15001,PUG
15012,LABRADOR RETRIEVER
15043,BORD COLLIE
34108,COTON DE TULEAR
74133,MIXED
15224,BASSET HOUND
17070,DACHSHUND
29566,TAG
15204,MIXED
16342,GER SHEPHERD MIX
40205,MIXED
26047,POODLE MIX
11731,POMERANIAN
26508,DOBERMAN PINSCHER
15042,SCHNAUZER MIN
15301,BRUSSELS GRIFFON
16424,MIXED
33566,GREYHOUND
16066,BEAGLE MIX
15213,MIXED
20171,SHIH TZU
15089,MIXED
15634,LABRADOR RETRIEVER
15059,BASSET HOUND
15601,AM PIT BULL TERRIER
15636,MIXED
15066,LHASA APSO
15233,LAB MIX
15061,LABRADOR RETRIEVER
30248,MIXED
29511,PARSON RUSSELL TERR
16105,POODLE MIX
16354,LABRADOR RETRIEVER
29485,DACHSHUND
15367,MIXED
17111,W HGHLND WH TERRIER
28025,GOLDEN RETRIEVER
32224,SHETLAND SHEEPDOG
16055,YORKSHIRE TERR MIX
15901,SHIH TZU
14830,BEAGLE MIX
28594,AUS CATTLE DOG
13027,COCKER SPANIEL
28539,ENG SHEPHERD
28273,SHIH TZU MIX
21401,DACHSHUND
15021,DALMATIAN
28117,MIXED
34233,COLLIE
15767,PARSON RUSSELL TERR
15244,GER SHORTHAIR POINT
32311,POODLE TOY
47126,LABRADOR RETRIEVER
46037,PARSON RUSSELL TERR
15231,MIXED
15331,LAB MIX
16137,MIXED
77904,COCKER SPANIEL
16127,LAB MIX
16033,MIXED
15016,TERRIER
32506,PARSON RUSSELL TERR
16056,MIXED
92101,MIXED
15230,LABRADOR RETRIEVER
15052,GOLDEN RETRIEVER
33410,SIB HUSKY
1821,SIB HUSKY
15109,LABRADOODLE
92782,COCKAPOO
33426,MIXED
16229,LABRADOR RETRIEVER
18930,SIB HUSKY
15363,MIXED
31520,DINGO
33458,DACHSHUND MIX
15009,GOLDEN RETRIEVER
44241,BEAGLE
27606,LAB MIX
98155,LABRADOR RETRIEVER
15502,AM PIT BULL TERRIER
33913,SHIH TZU
16053,POODLE STANDARD
74864,GER SHEPHERD MIX
44141,LAB MIX
15081,PARSON RUSSELL TERR
28021,HAVANESE
15107,MIXED
15656,MIXED
33442,JACK RUSSEL TERRIER
32207,MIXED
6033,HAVANESE
15675,NEWFOUNDLAND
