ZipCode,DogName
15220,BUDDY
15227,BELLA
15218,SADIE
15237,BUDDY
15221,MAX
15102,BUDDY
15212,SADIE
15146,BUDDY
15143,BUDDY
15108,BUDDY
15024,MAX
15229,MAX
15065,MOLLY
15147,BUDDY
15216,MAGGIE
15101,BUDDY
15136,BUDDY
15238,LUCY
15236,BUDDY
15241,MAX
15122,BUDDY
15090,BAILEY
15144,MAGGIE
15034,LUCY
15235,BUDDY
15037,BUDDY
15239,MAX
15131,MAX
15068,MOLLY
15228,MAX
15005,TEDDY
15135,MAX
15139,BUDDY
15205,BUDDY
15234,BUDDY
15202,LUCY
15120,BUDDY
15084,BUDDY
15049,MOLLY
15025,BUDDY
15140,MAX
15071,BUDDY
15126,BUDDY
15225,SAMMY
15057,MAGGIE
15133,MAX
15112,BUDDY
15104,ROSIE
15145,BUDDY
15321,STORMY
15116,BAILEY
15129,MAX
15243,BELLA
15045,MAX
15127,LUCKY
15044,BUDDY
15209,BELLA
15137,BUDDY
15046,DAISY
15226,BUFFY
15132,BUDDY
15215,BELLA
15086,MOLLY
15232,LOUIS
15014,MOLLY
15017,BELLA
15035,BUDDY
80863,BELLA
15214,MAX
15148,MAX
15106,BUDDY
15332,MOLLY
16046,MAX
15142,BAILEY
15015,LUCY
15211,LOLA
15056,ANGEL
15110,BUDDY
15007,SCOUT
15063,BUDDY
15082,SASSY
15367,LINCOLN
15223,BUDDY
15210,BUDDY
15031,SHADOW
15217,CHLOE
15222,RYLEE
15083,BRANDY
15026,GINGER
15003,BUDDY
15642,BELLA
15018,LUCY
15030,MAX
32224,MUFFIN
15076,BUDDY
15206,BELLA
15051,DIAMOND
17070,MOLLY
15047,BUDDY
15204,COOPER
21401,SCHMIDTY
15064,BELLA
15091,MOKI
16059,MAGGIE
15134,TONY
15301,STITCH
15001,CHLOE
15219,MADDIE
15032,BETSY
28117,REGGIE
15317,ANGEL
15668,BRITTANY
15012,COCO
15088,BELLA
34108,KEEPER
15089,BABY
15020,PEANUT
15203,SADIE
32311,BUBBA
15207,DUKE
15006,MOLLY
15013,MURPHY
77351,PEANUT
15224,KING
13027,ANGLE CHARMIN
16137,MIA
15075,DIXIE
15636,KELSEY
30064,KAKO
15208,BOOMER
29566,MOE
47126,JAKE
15085,NOEL
92782,SYDNEY
26047,PEEKA
15201,LUCY
16055,PIXY
15767,DAPHINE
15601,SHEA
15028,BUDDY
32506,POKEY
15233,SANDIE
33426,ANGEL
16342,BEAR
28594,KATIE
29928,REX
33566,RUFFIAN
14830,ANGEL
15626,SHELBY
30248,NELLIE
15330,OB
3102,WOLFIE
35907,EBENEZER
20171,GRADY
15061,JUNIOR
33410,NEO
74864,HUNTER
16066,MOLLY
15213,JOHNNY RAY
16037,FLUFFY
46037,PRINCESS PIXIE
17821,MAXIMUS
15042,SOPHIE
16053,DEXTER
16233,MAXIMUS
11731,PUDDIN
44141,BLAZER
28273,MICKY
77904,TYLER
33913,MOKO
40205,MIKEY
16056,COCO
28173,BLUE
19014,LIBBY
34233,CHIEF
6033,BLANCA DINGMANN
16063,ROONEY
32207,CLOVER
74133,ELIZA
26508,GYPSY
29511,JEZEBEL
29485,MAX 
15043,TIMBER
15231,FROSTY PUP
40330,ZOE
49441,LUCY
18930,ALASKA
32137,SEAMUS
17111,MAGGIE
15244,DAKOTAH
33442,REX
31520,LAHLA
28025,CISCO
28539,MAISY
15059,NIKITA
16354,LADY
32168,BRAXTON
27606,MAXWELL
16229,BUDDY
16127,ARES
47909,CHARLIE
15010,JADE
15021,BAILEY
16424,HATTIE
16301,MURPHY
27833,MAX 
32828,WALTER
46205,DUKE
15062,ZHA ZHA
10544,HERGIE
87121,LUCIE
16033,HIGGINS
16105,JACK
92101,MORGAN
28021,GEORGE
33458,ROSCOE
15081,SPOT
15009,HONEY GRAHAM
33764,HARLEE
1821,SIENNA
15066,CHARLIE
15656,BUBBA
15675,BEAR
16001,WINSTON
15038,CHICO
15363,PEPPY
16051,TRINITY
15670,OSCARR
15665,BUDDY BLAZE
15230,PEANUT
16002,HERSHEY PARK  PALCHINSKI
23059,DUSTY
