ZipCode,DogBreed
15136,MIXED
15238,MIXED
15049,MIXED
15202,MIXED
15239,MIXED
15120,MIXED
15237,MIXED
15056,MIXED
15227,MIXED
15668,MIXED
15234,MIXED
15146,MIXED
15101,MIXED
15229,MIXED
15068,MIXED
15057,MIXED
15205,MIXED
15144,MIXED
15030,MIXED
15131,MIXED
15084,MIXED
15218,MIXED
15044,MIXED
15090,MIXED
15241,MIXED
15221,MIXED
15025,MIXED
15132,MIXED
15102,MIXED
15143,MIXED
15212,MIXED
15024,MIXED
15126,MIXED
15003,MIXED
15243,MIXED
15215,MIXED
15108,MIXED
15065,MIXED
15017,MIXED
15037,MIXED
15116,MIXED
15236,MIXED
15235,MIXED
15223,MIXED
15129,MIXED
15220,MIXED
15209,MIXED
15071,MIXED
15216,MIXED
15135,MIXED
15122,MIXED
15133,MIXED
15210,MIXED
15112,MIXED
15147,MIXED
15145,MIXED
15137,MIXED
15104,MIXED
15110,MIXED
15015,LABRADOR RETRIEVER
15106,MIXED
15214,MIXED
15206,MIXED
15127,MIXED
15228,MIXED
15014,MIXED
16046,LABRADOR RETRIEVER
15226,MIXED
15075,MIXED
15018,MIXED
15026,MIXED
15140,MIXED
15142,MIXED
15208,MIXED
15051,MIXED
17821,MASTIFF
15642,MIXED
15139,MIXED
15148,MIXED
15047,MIXED
15045,MIXED
15332,MIXED
16059,MIXED
15034,MIXED
15028,BEAGLE
15063,MIXED
15046,MIXED
15035,MIXED
15005,MIXED
15225,MIXED
15001,BEAGLE
15217,MIXED
15064,MIXED
15317,GOLDEN RETRIEVER
15076,MIXED
15007,LABRADOR RETRIEVER
15207,MIXED
15213,POODLE MED
15201,LAB MIX
15204,MIXED
15086,COCKER SPANIEL
29566,TAG
15219,LAB MIX
15012,ENGLISH MASTIFF
16066,GER SHEPHERD
16053,POODLE STANDARD
32224,SHETLAND SHEEPDOG
15232,MIXED
15224,BOXER
15031,MIXED
15211,MIXED
15020,MIXED
47126,LABRADOR RETRIEVER
15091,LABRADOR RETRIEVER
15032,MIXED
15321,LABRADOR RETRIEVER
26047,POODLE MIX
15083,LABRADOR RETRIEVER
15088,MIXED
15085,MIXED
77351,GER SHEPHERD MIX
15006,MIXED
33566,GREYHOUND
15042,SCHNAUZER MIN
15222,W HGHLND WH TERRIER
15367,MIXED
33913,SHIH TZU
15233,LAB MIX
15082,MIXED
15134,MIXED
33410,SIB HUSKY
15203,MIXED
16233,DOBERMAN PINSCHER
16342,SHETLAND SHEEPDOG
28594,SHETLAND SHEEPDOG
30064,LABRADOODLE
15330,OLD ENG SHEEPDOG
17111,W HGHLND WH TERRIER
98155,LABRADOR RETRIEVER
26508,DOBERMAN PINSCHER
15107,PETIT BASSET GRIFFO
17070,DACHSHUND
40205,MIXED
34233,COLLIE
19020,CHIHUAHUA
20171,SHIH TZU
15901,SHIH TZU
32311,POODLE TOY
33458,DACHSHUND MIX
15301,BRUSSELS GRIFFON
16137,MIXED
33442,JACK RUSSEL TERRIER
15061,LABRADOR RETRIEVER
32081,ENGLISH MASTIFF
29928,LABRADOR RETRIEVER
15636,MIXED
14830,BEAGLE MIX
13027,COCKER SPANIEL
15089,MIXED
15244,GER SHORTHAIR POINT
44241,BEAGLE
74864,GER SHEPHERD MIX
35907,SCHNOODLE
33426,MIXED
28025,GOLDEN RETRIEVER
28117,MIXED
32506,PARSON RUSSELL TERR
15009,GOLDEN RETRIEVER
27606,LAB MIX
15502,AM PIT BULL TERRIER
21401,DACHSHUND
92782,COCKAPOO
29485,DACHSHUND
16354,LABRADOR RETRIEVER
30248,MIXED
15601,AM PIT BULL TERRIER
40330,MIXED
15626,TERRIER MIX
29511,PARSON RUSSELL TERR
46037,PARSON RUSSELL TERR
16127,LAB MIX
31520,LAB MIX
15043,BORD COLLIE
16105,POODLE MIX
16056,MIXED
32207,MIXED
11731,POMERANIAN
15634,LABRADOR RETRIEVER
46205,LAB MIX
19014,PARSON RUSSELL TERR
16055,YORKSHIRE TERR MIX
1821,SIB HUSKY
15767,PARSON RUSSELL TERR
15062,SCHIPPERKE
6033,HAVANESE
18930,SIB HUSKY
16033,MIXED
28539,ENG SHEPHERD
34108,COTON DE TULEAR
15080,COLLIE MIX
44141,LAB MIX
27833,LABRADOR RETRIEVER
15363,MIXED
16229,AM PIT BULL TERRIER
15013,MIN PINSCHER
92101,MIXED
28273,SHIH TZU MIX
15656,MIXED
49441,GOLDEN RETRIEVER
15081,ROTTWEILER
15230,LABRADOR RETRIEVER
16063,MALTESE
15231,MIXED
10544,BOSTON TERRIER
74133,MIXED
77904,COCKER SPANIEL
3102,MIXED
45102,SHIH TZU
15125,GER SHORTHAIR POINT
32828,BEAGLE
16316,OTHER
15686,POMERANIAN MIX
15105,GOLDEN RETRIEVER
15016,POODLE TOY
16424,MIXED
47909,CHIHUAHUA
15665,COCKER SPANIEL
15059,MIXED
28021,HAVANESE
32137,LAB MIX
32168,WELSH CORGI PEMBROK
15010,AM PIT BULL TERRIER
16037,YORKSHIRE TERRIER
