ZipCode,DogName
15236,BELLA
15090,CHARLIE
15238,BELLA
15102,BAILEY
15147,BELLA
15148,MOLLY
15239,BELLA
15129,BAILEY
15143,BELLA
15017,DAISY
15025,BELLA
15139,LUNA
15228,LUCY
15146,BELLA
15116,DAISY
15101,BELLA
15044,BAILEY
15235,BELLA
16046,ROCKY
15243,CHLOE
15137,MOLLY
15205,DAISY
15209,BELLA
15220,LILY
15237,BELLA
15084,BELLA
15221,LUCY
15215,BELLA
15065,BELLA
15120,BELLA
15122,BELLA
15241,BELLA
15108,BELLA
15106,BELLA
15223,DAISY
15126,BAILEY
15214,BELLA
16229,TUCKER
15145,BELLA
15132,MAX
15071,BELLA
15234,BELLA
15227,BAILEY
15216,CHARLIE
15057,CHARLIE
15026,BUDDY
15136,BELLA
15135,BELLA
15037,BELLA
15112,BEAR
15202,BUDDY
15212,MOLLY
15218,CHARLIE
15142,RUBY
15056,DAISY
15229,BELLA
15144,SADIE
15131,BELLA
15005,CARL
15035,BELLA
15024,ZOEY
15034,SADIE
15104,ZOEY
15140,BELLA
15046,GINGER
15133,BUDDY
15014,MAX
15007,TINKERBELL
15003,DIXIE
15086,ROSIE
15068,DAISY
15020,MURPHY
15642,RIO
15030,OLIVER
15045,BELLA
15332,OLIVER
15015,MOLLY
15018,BUDDY
15210,PENNY
15226,ELLIE
15049,CHLOE
15232,BEAU
15051,MACIE
15088,XENA
15225,MAX
15082,LAYLA BLUE
15222,BETTY HOAG
15217,INDY
15063,BUDDY
15028,BOB
15206,EDDY
15321,BECCA
16059,PAISLEY
15064,BAILEY
15047,BUBBA
15208,JACOB
15367,MEEKA
15076,MOLLY
15668,MURPHY
15207,HARLEY
15203,HORTON
15110,BELLA
15224,PEANUT
15211,SASHA
15219,AXEL
15031,BRADY
15006,LUGS
15204,GENIE
15213,TOMMY
15012,LOLA
15127,ANNIE
15083,OSCAR JR
15032,ROSCO
15091,BRANDY (ROBBI)
15075,SAMMY
16066,GRIFFEY
15801,LEIA
16056,BLAZE
15085,D O G
15201,FRITZ LOY AUNGST
15089,MADIX
44408,MOSLEY
