ZipCode,DogName
15236,BELLA
15104,ROCKY
15106,BELLA
15136,BELLA
15090,LUCY
15243,BELLA
15108,BELLA
15227,BELLA
15234,BELLA
15057,SADIE
15239,BELLA
16046,BELLA
15129,BAILEY
15137,BELLA
15215,BELLA
15221,BUDDY
15101,BELLA
15071,BELLA
15228,LUCY
15218,BELLA
15017,DAISY
15044,BELLA
15143,BELLA
15237,BELLA
15024,BAILEY
15209,BELLA
15007,ZOEY
15140,BELLA
15238,BELLA
15014,CHLOE
15102,BELLA
15223,MAX
15146,BELLA
15229,BELLA
15235,BELLA
15116,SADIE
15241,BELLA
15145,BELLA
15068,DAISY
15216,CHARLIE
15120,BELLA
15122,BUDDY
15065,BELLA
15205,BELLA
15133,BUDDY
15005,MURPHY
15126,BUDDY
15220,BUDDY
15139,BAILEY
15147,BELLA
15202,BUDDY
15037,BELLA
16059,COOPER
15084,BELLA
15003,BUDDY
15132,BELLA
15131,BELLA
15085,PANDORA'S MAJOR BULLET
15045,BELLA
15212,BELLA
15046,ZOEY
15332,SADIE
15015,BUSTER
15225,CHARLIE
15144,BELLA
15035,ROCKY
15224,PINKY
15848,BELLE
33913,MOKO
15063,DAISY
15201,CUTIE RISHER
35907,BOGIE
15110,BELLA
15206,OLIVER
15030,MAX
15025,BELLA
15214,BELLA
16066,BAILEY
15148,ROCKY
15135,BELLA
15031,LULU
15049,CHLOE
15112,BUDDY
29926,ROY BELL
15207,DUKE
15210,TANK
15034,SADIE
15222,PIPPA
15076,LUNA
15026,BELLA
15142,BELLA
15051,TIA
15047,RUSTY
15018,BUDDY
15317,GUNNER
15056,MOLLY
27302,MARTY
15032,ASYLUM
15086,JUDE
6033,BLANCA DINGMANN
15088,SOPHIE
15226,BAILEY
80211,KIMBER
15217,LULU
15642,LOW RIDER
74864,MAX
29803,BRODY
15203,REMY
77351,PEANUT
15064,NALA
28539,BAILEY
73134,FINN
32128,MOLLY
15091,SALLY
34205,GINGER
28594,WILLOW
15083,BANDIT
15127,ANNIE
15082,MAX
15028,LOLA
15006,SPENCER
15042,INDY
15208,DOGGIE
34145,FREUD
92101,THEO
15022,MURPHY
77904,BELLA
15204,EDDIE
15613,RILEY
16351,MURRAY
15211,LOLA
33566,BAILEY
16342,BEAR
15027,TUCKER
15626,ROSIE
27617,MOLLY FEDRIZZI
32224,PEACHES
26508,GYPSY
15075,KING
21401,SCHMIDTY
16134,LUCY
23059,DUSTY
43903,WILSON KIGER
15219,LADY
15692,CELINE
14830,JERIMIAH
16259,SARACEN
27950,COOPER
32207,CLOVER
16803,RILEY
29609,KODA
15001,BLUE
33319,CHANCE
15678,TALBOT
60659,"DUPUIS ""DEWEY"""
16101,KONA
40205,RUFUS
19150,ANGEL
33764,HARLEE
29679,DUKE
15367,BETTY WHITE
15501,BELLA
34287,THEO
30132,RANGER
26047,PEEKA
37412,THOR
55379,JACK
15656,PEANUT
15232,COCO
34211,PIPER
18705,BUGSY
80130,HARLEY
16056,LUCY
15233,EVIE
32119,ONIS
38632,DIESEL
77389,ARCHER
29568,MYA HODDER
32506,BELLA
32210,LACEY
49441,LUCY
15012,LOLA
15213,FRECKLES 
15038,CHICO
19438,CHARLIE
34997,DAISY
15074,SOPHIE 
16509,ZOEY
84770,FRANKIE
16055,PIXY
16113,VINNIE
48316,LILY
31535,SHEP
15301,CHIP
97206,OTIS
29928,TATER
80109,BONNY
29576,MAYA
74133,MOLLY
2043,NOLA
16229,HUNTER
15668,OSCAR
46037,REESE
15134,BUDDY
45102,STELLA
34602,CHICHI
78660,STOTCH
15601,ARROW
29466,SAM
30064,SAM
2864,OLIVIA
32609,KONG
15632,MOLLY
29036,ENZO
15330,JOJO
84105,NINA
27518,DUKE
92782,SYDNEY
