ZipCode,DogBreed
15102,MIXED
15220,MIXED
15116,MIXED
15032,BOSTON TERRIER
15101,MIXED
15237,MIXED
15106,MIXED
15068,MIXED
15235,MIXED
15122,MIXED
15239,MIXED
15221,MIXED
15017,MIXED
16059,BEAGLE MIX
15063,MIXED
15205,MIXED
15216,MIXED
15209,MIXED
15227,MIXED
15126,MIXED
15030,MIXED
15236,MIXED
15129,MIXED
15202,MIXED
15025,MIXED
15143,LABRADOR RETRIEVER
15241,MIXED
15214,MIXED
15108,MIXED
15137,MIXED
15136,MIXED
15146,MIXED
15014,MIXED
15057,MIXED
15015,MIXED
15243,MIXED
15084,MIXED
15147,MIXED
15229,MIXED
15131,MIXED
15071,MIXED
15218,MIXED
15037,MIXED
15120,MIXED
15234,MIXED
15065,MIXED
15133,MIXED
15238,MIXED
15212,MIXED
15215,MIXED
15035,MIXED
15090,MIXED
15228,MIXED
15045,MIXED
15139,MIXED
15044,MIXED
15024,MIXED
15233,LABRADOR RETRIEVER
15046,MIXED
15127,MIXED
15223,MIXED
15145,MIXED
16046,MIXED
15026,BEAGLE
15132,AM PIT BULL TERRIER
15144,MIXED
15049,LAB MIX
15018,LABRADOR RETRIEVER
15005,MIXED
15207,MIXED
15225,MIXED
15135,MIXED
15056,LABRADOR RETRIEVER
15104,AM PIT BULL TERRIER
15332,MIXED
15110,MIXED
15801,GER SHEPHERD
15527,MIXED
15210,MIXED
15112,AM PIT BULL TERRIER
15226,LAB MIX
15140,MIXED
15020,DACHSHUND
15047,AM PIT BULL TERRIER
15142,LAB MIX
15051,MIXED
15082,MIXED
15028,BEAGLE
15201,MIXED
15003,MIXED
15086,CHIHUAHUA
15007,MIXED
15224,MIXED
15217,SFT COAT WHEAT TERR
15012,TERRIER MIX
15038,SHIH TZU
15232,JACK RUSSEL TERRIER
15085,MIXED
15088,MIXED
15213,SHIH TZU
15148,AM PIT BULL TERRIER
15076,MIXED
15206,AM PIT BULL TERRIER
15083,BEAGLE
15064,LABRADOR RETRIEVER
15203,LABRADOR RETRIEVER
15204,AM PIT BULL TERRIER
15034,MIXED
15031,GER SHEPHERD
15134,LABRADOR RETRIEVER
15091,BEAGLE
15006,MIXED
92782,COCKAPOO
15222,GOLDENDOODLE
15208,CHIHUAHUA
15636,BULLDOG
16229,AM PIT BULL TERRIER
15321,BOXER
15211,CHIHUAHUA
15613,YORKSHIRE TERRIER
15632,COCKER SPANIEL
15668,POODLE MIX
15642,CHIHUAHUA
15061,LABRADOR RETRIEVER
15219,AM PIT BULL TERRIER
37604,MIXED
15301,POMERANIAN
15009,MIXED
15074,CHIHUAHUA
15042,LABRADOR RETRIEVER
15601,YORKSHIRE TERR MIX
15646,GREAT DANE MIX
15644,TAG
43155,COCKER SPANIEL
15055,ENG BULLDOG
34997,PEEKAPOO
16056,LABRADOR RETRIEVER
15075,AM PIT BULL TERRIER
15230,TERRIER
15244,MIXED
15115,COCKER SPANIEL
15459,ENG BULLDOG
15022,AM PIT BULL TERRIER
16066,WELSH CORGI PEMBROK
43920,AM BULLDOG
15317,AM PIT BULL TERRIER
15001,AM PIT BULL TERRIER
15089,AUS CATTLE DOG
16354,LABRADOR RETRIEVER
15275,AM PIT BULL TERRIER
15066,SCHNOODLE
33407,SHIH TZU
44420,COLLIE MIX
10011,BRITTANY SPANIEL
44224,BOXER MIX
15282,LAB MIX
16351,LAB MIX
34119,SHIBA INU
16002,GER SHORTHAIR POINT
18705,TAG
