ZipCode,DogBreed
15236,MIXED
15238,MIXED
15205,MIXED
15143,LABRADOR RETRIEVER
15228,MIXED
15090,MIXED
15237,MIXED
15102,MIXED
15235,MIXED
15084,MIXED
15132,AM PIT BULL TERRIER
15108,MIXED
15120,MIXED
15065,MIXED
15227,MIXED
15209,MIXED
15049,LAB MIX
15239,MIXED
15025,MIXED
15229,MIXED
15216,MIXED
15024,MIXED
15146,MIXED
15145,MIXED
15017,MIXED
15044,MIXED
15005,LABRADOR RETRIEVER
15071,MIXED
15122,MIXED
15221,MIXED
15243,MIXED
15101,MIXED
15147,MIXED
15104,MIXED
15051,MIXED
15106,MIXED
15057,MIXED
15225,MIXED
15215,MIXED
15136,MIXED
15131,MIXED
15202,MIXED
15116,MIXED
15234,MIXED
15034,MIXED
15139,MIXED
15241,MIXED
15133,MIXED
15063,MIXED
15129,MIXED
15110,AM PIT BULL TERRIER
15037,MIXED
15014,MIXED
15137,MIXED
15007,MIXED
15692,POODLE MIN
15214,MIXED
16046,LABRADOR RETRIEVER
15135,MIXED
15144,MIXED
15223,MIXED
15212,MIXED
15068,MIXED
15042,SCHNAUZER MIN
15142,MALTESE
15220,MIXED
15210,MIXED
15046,MIXED
15126,MIXED
15015,LABRADOR RETRIEVER
15045,MIXED
15003,MIXED
15140,LAB MIX
15112,MIXED
15218,MIXED
15031,MIXED
15207,MIXED
15127,BEAGLE
15026,LABRADOR RETRIEVER
15232,AUS SHEPHERD
15332,MIXED
15211,LAB MIX
15056,LABRADOR RETRIEVER
15148,MIXED
16301,BOXER
15018,LAB MIX
15030,LAB MIX
15028,GER SHEPHERD
15047,LABRADOR RETRIEVER
16059,LABRADOR RETRIEVER
15076,LABRADOR RETRIEVER
46142,GREYHOUND
15006,CHIHUAHUA
15203,MIXED
15367,BULLDOG
15088,MIXED
32311,SHIH TZU
22508,POODLE TOY
15222,BEAGLE MIX
23059,AM ESKIMO DOG
15035,MIXED
15086,COCKER SPANIEL
15317,LAB MIX
16105,LAB MIX
15032,BOSTON TERRIER
15321,LABRADOR RETRIEVER
15091,GER SHEPHERD
15082,MIXED
17331,MIXED
15001,TAG
28594,MIXED
15075,LABRADOR RETRIEVER
15642,CHIHUAHUA
16316,YORKSHIRE TERRIER
15226,LAB MIX
44420,COLLIE MIX
77351,GER SHEPHERD MIX
80130,BOXER
29926,LABRADOODLE
18930,SIB HUSKY
15089,AM PIT BULL TERRIER
15217,MIXED
15134,LABRADOR RETRIEVER
16055,YORKSHIRE TERR MIX
19438,COCKER SPANIEL
27302,LABRADOR RETRIEVER
15282,AM PIT BULL TERRIER
15021,DALMATIAN
15301,CHIHUAHUA MIX
15668,YORKSHIRE TERRIER
16066,BEAGLE MIX
15208,POODLE STANDARD
16229,SIB HUSKY
29566,MIXED
18705,TAG
43935,CANE CORSO
15206,BEAGLE MIX
15601,STAFFORDSHIRE TERRI
15085,MIXED
27833,MIXED
16342,GER SHEPHERD MIX
34205,HAVANESE
21401,DACHSHUND
15061,LABRADOR RETRIEVER
34293,TERRIER MIX
19348,YORKSHIRE TERR MIX
32224,SHETLAND SHEEPDOG
15020,MIXED
17111,W HGHLND WH TERRIER
28539,LABRADOODLE
15083,AM PIT BULL TERRIER
14830,BEAGLE MIX
15219,CAV KING CHAR SPANI
15012,SHIH TZU MIX
48808,MIN PINSCHER
15043,MIXED
34233,COLLIE
33426,MIXED
27950,LAB MIX
28117,ENG SPRINGER SPANIE
16233,DOBERMAN PINSCHER
15330,OLD ENG SHEEPDOG
16001,LAB MIX
29928,LABRADOR RETRIEVER
78130,LAB MIX
15678,SHEPHERD MIX
32137,LAB MIX
15626,LABRADOR RETRIEVER
15767,AUS CATTLE DOG
15613,WEIMARANER
15204,LAB MIX
34108,COTON DE TULEAR
45102,COCKAPOO
15064,LABRADOR RETRIEVER
32207,MIXED
33764,MIXED
85032,LABRADOR RETRIEVER
33573,MIXED
28031,GOLDENDOODLE
45039,YORKSHIRE TERRIER
15201,LAB MIX
16002,GER SHORTHAIR POINT
19014,PARSON RUSSELL TERR
30064,LABRADOODLE
16127,LABRADOR RETRIEVER
32168,BEAGLE MIX
15636,MIXED
2864,SCHNOODLE
28025,LABRADOR RETRIEVER
26508,WEIMARANER
11731,POMERANIAN
26047,POODLE MIX
16053,POODLE STANDARD
55811,CHIHUAHUA
33913,SHIH TZU
16063,MALTESE
21113,PUG
15501,WELSH TERRIER
28173,ENGLISH MASTIFF
16121,CHIHUAHUA
17109,WELSH CORGI PEMBROK
31520,LAB MIX
32506,PARSON RUSSELL TERR
15231,SCHNAUZER MIN
34292,COLLIE MIX
70119,SCHIPPERKE
92782,COCKAPOO
15213,LABRADOR RETRIEVER
29466,LAB MIX
15233,YORKSHIRE TERRIER
15010,AM PIT BULL TERRIER
29485,DACHSHUND
15670,BORD COLLIE
33458,DACHSHUND MIX
30248,MIXED
15038,SHIH TZU
58801,SCHNAUZER MIN
16137,TERRIER MIX
43903,PEKINGESE
74133,MIXED
34114,BORD COLLIE
15632,COCKER SPANIEL
80863,ROTTWEILER
15656,MIXED
15062,LAB MIX
15066,COCKER SPANIEL
47126,MIXED
34112,BEAGLE MIX
30506,WELSH CORGI PEMBROK
27606,SHETLAND SHEEPDOG
6033,HAVANESE
16424,LABRADOR RETRIEVER
33410,SIB HUSKY
74864,GER SHEPHERD MIX
40330,MIXED
15224,BOXER
