ZipCode,DogName
15136,BUDDY
15238,LUCY
15049,MAX
15202,BUDDY
15239,MAX
15120,BUDDY
15237,BUDDY
15056,ANGEL
15227,MAX
15668,BAILEY
15234,BUDDY
15146,BUDDY
15101,BUDDY
15229,MAX
15068,BUDDY
15057,MAGGIE
15205,BUDDY
15144,MAGGIE
15030,BAILEY
15131,BUDDY
15084,MAX
15218,SADIE
15044,BUDDY
15090,MAX
15241,MAX
15221,MAX
15025,MAX
15132,BUDDY
15102,BUDDY
15143,DAISY
15212,SADIE
15024,MAX
15126,BUDDY
15003,PRINCESS
15243,BUDDY
15215,MAGGIE
15108,BUDDY
15065,MOLLY
15017,MAX
15037,BUDDY
15116,BAILEY
15236,BUDDY
15235,MAX
15223,BUDDY
15129,BAILEY
15220,BUDDY
15209,BUDDY
15071,BUDDY
15216,BUDDY
15135,MAX
15122,BUDDY
15133,MAX
15210,BUDDY
15112,BUDDY
15147,BUDDY
15145,BUDDY
15137,MAX
15104,LUCKY
15110,SADIE
15015,LUCY
15106,MAX
15214,MAX
15206,HARLEY
15127,CALLIE
15228,MAX
15014,LADY
16046,MAX
15226,BUDDY
15075,HUNTER
15018,LUCY
15026,BUDDY
15140,ANGEL
15142,MISSY
15208,CHRIS
15051,PRINCE
17821,MAXIMUS
15642,BUDDY
15139,MAGGIE
15148,MAX
15047,BUDDY
15045,BUDDY
15332,BAILEY
16059,TEDDY
15034,SHADOW
15028,BUDDY
15063,BUDDY
15046,DAISY
15035,BUDDY
15005,TEDDY
15225,MAX
15001,COOKIE
15217,CHLOE
15064,BELLA
15317,MAN - DEE
15076,BUDDY
15007,SCOUT
15207,DUKE
15213,PEANUT
15201,YUKON 
15204,JADE
15086,BROWNIE
29566,MOE
15219,SAMMY
15012,PIXIE
16066,DUKE
16053,DEXTER
32224,MUFFIN
15232,PENNY
15224,PRINE VALIANT
15031,ROCKY
15211,BLANKET
15020,HARLEY
47126,JAKE
15091,MISH
15032,NITRO
15321,MUFFIN
26047,PEEKA
15083,JEWEL
15088,BUDDY
15085,ROCKY
77351,PEANUT
15006,MOLLY
33566,RUFFIAN
15042,INDY
15222,CLEO
15367,MANDY ALLEN
33913,MOKO
15233,SANDIE
15082,BUDDY
15134,BUDDY
33410,NEO
15203,SADIE
16233,MAXIMUS
16342,SHELBY
28594,KATIE
30064,KAKO
15330,BAILEY
17111,SUZIE
98155,SAM
26508,TOBEY
15107,MOLLY
17070,MOLLY
40205,MIKEY
34233,CHIEF
19020,SNICKERS
20171,GRADY
15901,K C
32311,LOUIE 2
33458,ROSCOE
15301,SKIPPY
16137,MIA
33442,REX
15061,JUNIOR
32081,DOZER
29928,REX
15636,ZOMBIE
14830,ANGEL
13027,ANGLE CHARMIN
15089,K.A.
15244,DAKOTAH
44241,GIBSON
74864,HUNTER
35907,BABA
33426,ANGEL
28025,CISCO
28117,ROSE
32506,POKEY
15009,HONEY GRAHAM
27606,MAXWELL
15502,BRUNO FAULKNER
21401,SCHMIDTY
92782,SYDNEY
29485,MAX 
16354,LADY
30248,NELLIE
15601,BUTCHIE
40330,ZOE
15626,SHELBY
29511,JACK
46037,PRINCESS PIXIE
16127,ARES
31520,SAMMEE BLUE
15043,TIMBER
16105,OREO
16056,COCO
32207,CLOVER
11731,PUDDIN
15634,ACE
46205,DUKE
19014,LIBBY
16055,PIXY
1821,SIENNA
15767,DAPHINE
15062,ZHA ZHA
6033,BLANCA DINGMANN
18930,ALASKA
16033,HIGGINS
28539,MAISY
34108,KEEPER
15080,SIDBURY
44141,BLAZER
27833,MAX 
15363,PEPPY
16229,SHOCKEY
15013,MURPHY
92101,MORGAN
28273,MICKY
15656,BUBBA
49441,LUCY
15081,CARDEA
15230,CANDI
16063,ROONEY
15231,FROSTY PUP
10544,HERGIE
74133,OLIVER
77904,TYLER
3102,WOLFIE
45102,PEPEE
15125,BELLA
32828,WALTER
16316,BASIL
15686,SAMBUCCA
15105,JUDGE
15016,WESLEY
16424,WINNIE
47909,CHARLIE
15665,BUDDY BLAZE
15059,NIKITA
28021,GEORGE
32137,SEAMUS
32168,BRAXTON
15010,JADE
16037,FLUFFY
