ZipCode,DogName
15237,BAILEY
15205,BAILEY
15120,BUDDY
15090,BAILEY
15136,BUDDY
15147,BUDDY
15236,BELLA
15202,BUDDY
15025,BELLA
15239,MAX
15044,BUDDY
15241,MAX
15049,BO
15243,BELLA
15132,BUDDY
15108,BELLA
15106,BELLA
15084,BUDDY
15116,LUCY
15209,BUDDY
15221,BELLA
15223,BUDDY
15037,MAX
15045,MAX
15229,MAX
15065,BELLA
15102,BUDDY
15137,BUDDY
15014,BELLA
15227,BELLA
15234,BELLA
15101,BUDDY
15235,BELLA
15146,MAX
15218,BELLA
15071,BELLA
15129,BAILEY
15143,BELLA
15131,BELLA
15112,BUDDY
15332,BELLA
22508,MISTY
15035,SASHA
15056,DAISY
15133,BUDDY
15212,BUDDY
15145,BELLA
15122,BUDDY
15104,ROCKY
15017,BELLA
15215,BUDDY
15126,BUDDY
15068,BUDDY
15238,BELLA
15006,SELENA
15024,MAX
15110,DUKE
15142,BELLA
15216,MAX
15034,OSCAR
15135,MAX
15139,BELLA
15018,LUCY
15214,BELLA
15210,BUDDY
15140,BAILEY
15057,BUDDY
15228,LUCY
16066,MIA RUSSO
15076,BAILEY
15015,BUSTER
15220,SADIE
15144,JAKE
15026,BUDDY
15005,MOLLY
15086,CODY
15051,TAMMY
15047,RUSTY
30064,KAKO
15030,MAX
16046,BELLA
15046,BELLA
15031,MISSY
15088,SASSY
15203,SADIE
15226,BUTTONS
16127,KOBE
33764,HARLEE
15063,BUDDY
15317,SOPHIE
15208,DOGGIE
33913,MOKO
15007,TINKERBELL
15127,NIKKO
15085,NOEL
15225,MAX
15668,BUDDY
16059,LOLA
15003,BUDDY
15148,ROCKY
15211,SOCKS
15642,IGGY
32224,MUFFIN
15601,SHEA
15064,BELLA
15321,BRUTUS
28117,ACE
47126,KAYA
80130,HARLEY
77351,PEANUT
16037,FLUFFY
29926,ROY BELL
15207,PATCH
15206,ANGEL
15670,OSCARR
15075,CHUBBY
23059,DUSTY
21401,SCHMIDTY
15082,DAISY
15012,JACK
15301,MAGGIE MAY KENNELLY
40205,MIKEY
16342,SHELBY
33458,ROSCOE
15032,LEO
15091,SALLY
15083,MAGGY
15222,THURSTON
45039,JAYLA
15219,MYA
6033,BLANCA DINGMANN
15201,LUCY
28025,CISCO
15204,ZOE
15636,KELSEY
15028,BUDDY
17111,MAGGIE
16055,PIXY
15217,SHAY-NA
15001,COPPER
29566,BUDDY
15134,CASHEW
32311,LOUIE 2
28273,MAX
15330,TANNER
15224,MAGGIE
29466,SAM
33566,RUFFIAN
15021,BAILEY
15061,JUNIOR
26047,PEEKA
15232,MISHA
15233,MISTY
15678,TALBOT
49441,LUCY
32137,SEAMUS
16233,MAXIMUS
33426,ANGEL
18930,ALASKA
18705,BUGSY
15213,TYSON
46142,FUZZ FACE CASSIE
15367,BETTY WHITE
32207,CLOVER
15626,ROSIE
29928,REX
2864,OLIVIA
32168,BRAXTON
28594,WILLOW
74133,ELIZA
15020,MAX
15066,JESSICA
16351,MURRAY
15656,BELLA
26508,GYPSY
15038,CHICO
13027,ANGLE CHARMIN
77904,TYLER
11731,PUDDIN
34205,GINGER
19014,LIBBY
16053,DEXTER
15231,MISS SADIE
33410,NEO
16105,LINUS
29485,MAX 
15043,RUFFLES
34292,SUNNY
46037,PRINCESS PIXIE
21113,GIGI
15767,BANDIT
35907,EBENEZER
27606,MAXWELL
15042,SOPHIE
34108,KEEPER
28173,BLUE
15701,MUDDY WATERS
14830,ANGEL
80863,BELLA
31520,SAMMEE BLUE
30248,NELLIE
15013,CASH
16063,ROONEY
44141,BLAZER
40330,BRADY
16002,HERSHEY PARK  PALCHINSKI
74864,MAX
29511,JEMMA
16056,PUPPY CHOW
15089,K.A.
92782,SYDNEY
34211,PIPER
20171,GRADY
15632,MOLLY
16137,MIA
16424,HATTIE
28021,GEORGE
15627,COOPER
15010,JADE
27833,LILLY
16229,SCOOBY
18853,BANDIT
1821,MAX
15009,HONEY GRAHAM
16001,WINSTON
34145,FREUD
15660,IZZIE
16316,TINKY
15613,NO NAME 
28539,BAILEY
33442,REX
7016,EMERSON
27950,COOPER
16051,TRINITY
80303,SUNSHINE
44241,BUBBA
16354,JAYCEE
15242,ROO
32506,POKEY
34233,CHIEF
58801,CHEVY
34114,CROSBY
15665,BUDDY BLAZE
15282,EVE
43903,WILSON KIGER
45102,STELLA
55811,SAMMI JO
7885,ISABELA
48808,GOLDIE GIRL
15363,PUPPY
15230,SIXX
15022,LIZZIE
15275,SOPHIE
44420,BLAKE
15501,JAZZY
31535,SHEP
70119,COFFEE
15690,AXEL
34293,SAM GALL
