ZipCode,DogName
15237,BAILEY
15136,BUDDY
15243,BELLA
15108,BELLA
15236,BELLA
15235,BUDDY
15227,BELLA
15071,BELLA
15202,BUDDY
15014,CHLOE
15212,MAGGIE
15024,MAX
15090,LUCY
15129,MAX
15044,BUDDY
15238,LUCY
15241,MAX
15045,MAX
15147,BUDDY
15101,BUDDY
15137,BUDDY
15135,BUDDY
15116,BAILEY
15057,MAGGIE
15120,BUDDY
15216,MAX
15229,MAX
15102,BUDDY
15122,BUDDY
15144,MAGGIE
15133,BUDDY
15037,MAX
15143,BELLA
15068,BUDDY
15106,BELLA
15239,MAX
15205,BUDDY
15223,BUDDY
15214,BELLA
15209,BUDDY
15228,LUCY
15234,BELLA
15084,BUDDY
15215,BELLA
15220,BUDDY
15025,BELLA
15017,BUDDY
15146,BUDDY
15006,MOLLY
15015,BUSTER
15221,MAX
15046,DAISY
15210,BUDDY
15131,BELLA
16046,MAX
15142,BELLA
15139,BAILEY
16066,KLONDIKE
15030,LUCY
15063,BUDDY
15104,ANGEL
15132,BUDDY
15065,BELLA
15112,BUDDY
15034,SADIE
15225,MURPHY
15218,SADIE
15126,BUDDY
15007,MOLLY
15035,BUDDY
15668,BUDDY
15145,BELLA
15005,TEDDY
15018,BUDDY
15332,MOLLY
15082,DAISY
15211,LOBO
15110,DUKE
15217,NOOKIE
15140,CHARLIE
77351,PEANUT
15148,MAX
15003,BUDDY
15086,RIPLEY
33913,MOKO
15076,BUDDY
15051,SADIE
34108,KEEPER
15056,ANGEL
15226,BUDDY
15026,BUDDY
15049,SHELBY
15064,BELLA
15201,MAX
15601,SHEA
15206,THUNDER
16354,LADY
15047,RUSTY
15031,MOLLY
15642,BUDDY
15028,MOLLY
19014,LIBBY
15127,TRILLI
32224,MUFFIN
16059,RANGER
15088,SASSY
15085,NOEL
15001,GRACIE
15330,OB
15232,PIXIE
16037,FLUFFY
26508,GYPSY
26047,PEEKA
15301,STITCH
15627,COOPER
15208,DOGGIE
15032,NEMO
15203,SADIE
13027,ANGLE CHARMIN
49441,LUCY
15012,PIXIE
15224,DAKOTA
15213,LOUIS
15207,BAILEY
28273,MICKY
17070,MOLLY
15222,BOGIE
15075,CHUBBY
15204,ZOE
32311,BUBBA
29511,JEMMA
15095,NUGGET BEAR
15317,SOPHIE
15083,BUGSY
33764,HARLEE
15321,TOBY
29566,MOE
40205,MIKEY
15626,ROSIE
32137,SEAMUS
30064,KAKO
15020,MAX
16233,MAXIMUS
29926,ROY BELL
23059,DUSTY
33426,ANGEL
16056,COCO
15613,NO NAME 
27833,MAX 
29928,REX
15089,K.A.
77904,TYLER
29466,SAM
15636,KELSEY
33410,NEO
15134,CASHEW
34233,CHIEF
33566,RUFFIAN
15021,LEELOO
40330,ZOE
15244,DAKOTAH
11731,PUDDIN
15231,MISS SADIE
47126,TUCKER BROWN SUTTER
33442,REX
16342,SHELBY
15767,BANDIT
74133,ELIZA
16053,DEXTER
28117,ROSE
34145,FREUD
32207,CLOVER
32506,POKEY
17111,MAGGIE
15061,GWENHYVAR
45039,JAYLA
16137,MIA
15091,VALENTINE
15219,MYA
30248,NELLIE
28594,WILLOW
15233,MISTY
15367,JACKSON
44141,BLAZER
6033,BLANCA DINGMANN
21401,SCHMIDTY
35907,EBENEZER
46142,FUZZ FACE CASSIE
29485,MAX 
14830,ANGEL
15038,CHICO
15670,OSCARR
31520,SAMMEE BLUE
16424,HATTIE
15043,RUFFLES
2864,OLIVIA
28025,CISCO
32168,BRAXTON
46037,PRINCESS PIXIE
28021,GEORGE
16127,KOBE
21113,GIGI
16002,HERSHEY PARK  PALCHINSKI
16105,OREO
27606,MAXWELL
1821,SIENNA
92782,SYDNEY
80863,BELLA
18930,ALASKA
16229,SHOCKEY
28173,BLUE
33458,ROSCOE
19020,SNICKERS
34211,PIPER
15010,JADE
15656,LU LU
15081,CARDEA
44241,BUBBA
16063,ROONEY
15016,WESLEY
32828,WALTER
16055,PIXY
15009,HONEY GRAHAM
15660,IZZIE
20171,GRADY
10544,WINSTON
74864,MAX
15363,PEPPY
15678,TALBOT
15501,JAZZY
46205,DUKE
15665,BUDDY BLAZE
15042,HOWIE
16051,TRINITY
15013,CASH
18705,BUGSY
15066,CHARLIE
15062,DIAMOND
16351,MURRAY
80130,HARLEY
15701,MUDDY WATERS
15022,LIZZIE
44121,RALPHIE
34292,SUNNY
27302,SAMSON
