ZipCode,DogBreed
29568,AUS CATTLE DOG
15665,COCKER SPANIEL
15502,MIXED
16001,LAB MIX
44431,BRITTANY SPANIEL
28273,MORKIE
33458,DACHSHUND MIX
22701,BEAGLE
75068,GOLDEN RETRIEVER
33319,AM PIT BULL TERRIER
99645,ALAS MALAMUTE
15370,BOXER
34211,SHIH TZU
29406,LABRADOR RETRIEVER
15050,MIXED
26062,SIB HUSKY
17034,TAG
15644,AM PIT BULL TERRIER
80303,POMERANIAN MIX
33401,BLUE HEELER
15245,AM PIT BULL TERRIER
16216,TAG
15501,WELSH TERRIER
15027,LAB MIX
15801,ST BERNARD
11210,ALAPAHA BLUE BULLDO
37069,AM PITT BULL MIX
8002,MALTESE
29036,HAVANESE
28021,HAVANESE
38632,ENG BULLDOG
60503,TAG
28052,BOXER MIX
17055,BOXER MIX
17543,BOXER
15679,BEAGLE MIX
33029,OLD ENG SHEEPDOG
44102,LAB MIX
16134,BOSTON TERRIER
77389,GOLDEN RETRIEVER
29803,LABRADOR RETRIEVER
2043,BOXER MIX
34450,AM PITT BULL MIX
15728,SIB HUSKY
46205,DACHSHUND
