ZipCode,DogName
15122,BUDDY
15205,BUDDY
15137,BUDDY
15202,MAX
15148,MAX
15235,BUDDY
15221,MAX
15120,BUDDY
15209,BUDDY
15044,BUDDY
15236,BUDDY
15101,BUDDY
15227,BELLA
15024,MAX
15239,MAX
15237,BAILEY
15102,BUDDY
15116,BAILEY
15229,MAX
15065,BELLA
15129,MAX
15146,MAX
15241,MAX
15215,BELLA
15086,PEANUT
15108,BELLA
15218,SADIE
15228,MAX
15220,BUDDY
15106,BELLA
15216,BELLA
15214,MAX
15057,SADIE
15211,EMERSON
15223,BUDDY
15126,BUDDY
15025,BELLA
15143,BUDDY
15142,BAILEY
15139,BAILEY
15613,NO NAME 
15017,BELLA
15071,BUDDY
15037,MAX
15090,BAILEY
15035,BUDDY
15084,MAX
15243,MAX
15014,LADY
15210,BUDDY
15136,BUDDY
15133,BUDDY
15217,CHLOE
15132,BUDDY
15234,BELLA
15112,BUDDY
15015,LUCY
15212,MAGGIE
15238,LUCY
15145,BUDDY
15135,BUDDY
15045,MAX
15140,MAX
15075,DIXIE
15104,ANGEL
15147,BUDDY
15144,MAGGIE
15110,MISTY
15064,BELLA
15131,MAX
15226,DAKOTA
27833,MAX 
15219,LEXI
15018,LUCY
15046,DAISY
15224,DAISY
15201,RINGO
15063,BUDDY
15332,MOLLY
15003,BUDDY
15068,DAISY
16046,MAX
15213,CALLI
16354,LADY
15225,BUTTERCUP
15047,RUSTY
15301,STITCH
15001,SAM I AM
15127,LUCKY
15026,BUDDY
15034,RILEY
15005,LUCY
15206,SUGAR GOLDSTON 
13027,ANGLE CHARMIN
77351,PEANUT
15030,ABBY
15031,MOLLY
15049,RILEY
15207,DUKE
15089,K.A.
34233,CHIEF
15051,SADIE
32168,BRAXTON
15083,TAZ
16059,MAGGIE
15056,MAX
29566,MOE
15642,CODY
15082,DAISY
15007,MOLLY
15085,NOEL
15076,BUDDY
33426,ANGEL
15317,TOBY
34145,FREUD
15020,BUDDY
15660,IZZIE
80863,BELLA
15232,AMOS
15006,MOLLY
15668,BUDDY
20171,GRADY
15204,TIMMY
40205,MIKEY
33442,REX
17070,MOLLY
15208,HONEY
33410,NEO
15601,SYDNEY
15028,BUDDY
33566,RUFFIAN
16342,SHELBY
15330,OB
15042,INDY
16127,KOBE
15636,KELSEY
15088,SASSY
15203,SADIE
32224,MUFFIN
15012,COCO
34108,KEEPER
15222,BEA
28173,BLUE
15626,SHELBY
15134,SASHA
16066,DUKE
49441,LUCY
16053,DEXTER
15043,RUFFLES
15767,OSCAR
15081,SPOT
28117,ROSE
32137,SEAMUS
33764,HARLEE
15021,LEELOO
30064,KAKO
15061,JUNIOR
15032,BELLA
40330,ZOE
28025,CISCO
15321,TOBY
16063,ROONEY
15367,LOKI
23059,DUSTY
33913,MOKO
32311,BUBBA
26047,PEEKA
77904,TYLER
15091,FREYA
14830,ANGEL
28594,KATIE
30248,NELLIE
11731,PUDDIN
31520,SAMMEE BLUE
44141,BLAZER
32207,CLOVER
15244,DAKOTAH
16137,MIA
32506,POKEY
16424,HATTIE
47126,KAYA
6033,BLANCA DINGMANN
27606,MAXWELL
21401,SCHMIDTY
29511,JEMMA
17111,MAGGIE
19014,LIBBY
29485,MAX 
16002,HERSHEY PARK  PALCHINSKI
29928,REX
15013,CASH
26508,GYPSY
16229,SHOCKEY
15670,OSCARR
15233,LUA
15231,MISS SADIE
15038,CHICO
16105,OREO
35907,EBENEZER
18930,ALASKA
1821,SIENNA
46037,PRINCESS PIXIE
16301,MURPHY
45039,JAYLA
15009,HONEY GRAHAM
92782,SYDNEY
16233,MAXIMUS
45102,PEPCEE
92101,MORGAN
15010,JADE
29926,ROY BELL
16056,COCO
28021,GEORGE
16051,STORM
33458,ROSCOE
28273,MICKY
19020,SNICKERS
34211,PIPER
44241,BUBBA
47909,CHARLIE
15675,WHITE GIRL
32828,WALTER
74133,ELIZA
15656,BUBBA
10544,WINSTON
17821,MAXIMUS
15019,KEILO
15016,WESLEY
74864,MAX
15022,LIZZIE
16055,PIXY
16001,HAYLEY
15665,BUDDY BLAZE
15066,CHARLIE
2864,OLIVIA
15632,ROSIE
16037,FLUFFY
21113,GIGI
32081,COCO
15363,PEPPY
29466,SAM
15314,GAMBIT
