ZipCode,DogBreed
15220,MIXED
15227,MIXED
15218,MIXED
15237,MIXED
15221,MIXED
15102,MIXED
15212,MIXED
15146,MIXED
15143,MIXED
15108,MIXED
15024,MIXED
15229,MIXED
15065,MIXED
15147,MIXED
15216,MIXED
15101,MIXED
15136,MIXED
15238,MIXED
15236,MIXED
15241,MIXED
15122,MIXED
15090,MIXED
15144,MIXED
15034,MIXED
15235,MIXED
15037,MIXED
15239,MIXED
15131,MIXED
15068,MIXED
15228,MIXED
15005,MIXED
15135,MIXED
15139,MIXED
15205,MIXED
15234,MIXED
15202,MIXED
15120,MIXED
15084,MIXED
15049,MIXED
15025,MIXED
15140,MIXED
15071,MIXED
15126,MIXED
15225,MIXED
15057,MIXED
15133,MIXED
15112,MIXED
15104,MIXED
15145,MIXED
15321,LABRADOR RETRIEVER
15116,MIXED
15129,MIXED
15243,MIXED
15045,MIXED
15127,LABRADOR RETRIEVER
15044,MIXED
15209,MIXED
15137,MIXED
15046,MIXED
15226,MIXED
15132,MIXED
15215,MIXED
15086,COCKER SPANIEL
15232,BEAGLE
15014,MIXED
15017,MIXED
15035,MIXED
80863,ROTTWEILER
15214,MIXED
15148,MIXED
15106,MIXED
15332,MIXED
16046,LABRADOR RETRIEVER
15142,MIXED
15015,LABRADOR RETRIEVER
15211,MIXED
15056,MIXED
15110,MIXED
15007,LABRADOR RETRIEVER
15063,MIXED
15082,MIXED
15367,VIZSLA
15223,MIXED
15210,MIXED
15031,MIXED
15217,MIXED
15222,POODLE STANDARD
15083,LABRADOR RETRIEVER
15026,MIXED
15003,MIXED
15642,MIXED
15018,MIXED
15030,MIXED
32224,SHETLAND SHEEPDOG
15076,MIXED
15206,MIXED
15051,MIXED
17070,DACHSHUND
15047,MIXED
15204,MIXED
21401,DACHSHUND
15064,MIXED
15091,LABRADOR RETRIEVER
16059,MIXED
15134,MIXED
15301,CHIHUAHUA MIX
15001,YORKSHIRE TERRIER
15219,MIXED
15032,MIXED
28117,GREAT PYRENEES
15317,GOLDEN RETRIEVER
15668,MIXED
15012,LABRADOR RETRIEVER
15088,MIXED
34108,COTON DE TULEAR
15089,MIXED
15020,MIXED
15203,MIXED
32311,YORKSHIRE TERRIER
15207,MIXED
15006,MIXED
15013,MIN PINSCHER
77351,GER SHEPHERD MIX
15224,SIB HUSKY MIX
13027,COCKER SPANIEL
16137,MIXED
15075,MIXED
15636,MIXED
30064,LABRADOODLE
15208,BICHON FRISE
29566,TAG
47126,LABRADOR RETRIEVER
15085,MIXED
92782,COCKAPOO
26047,POODLE MIX
15201,MIXED
16055,YORKSHIRE TERR MIX
15767,PARSON RUSSELL TERR
15601,STAFFORDSHIRE TERRI
15028,BEAGLE
32506,PARSON RUSSELL TERR
15233,LAB MIX
33426,MIXED
16342,GER SHEPHERD MIX
28594,SHETLAND SHEEPDOG
29928,LABRADOR RETRIEVER
33566,GREYHOUND
14830,BEAGLE MIX
15626,TERRIER MIX
30248,MIXED
15330,OLD ENG SHEEPDOG
3102,MIXED
35907,POODLE STANDARD
20171,SHIH TZU
15061,LABRADOR RETRIEVER
33410,SIB HUSKY
74864,GER SHEPHERD MIX
16066,BEAGLE MIX
15213,MIXED
16037,YORKSHIRE TERRIER
46037,PARSON RUSSELL TERR
17821,MASTIFF
15042,SCHNAUZER MIN
16053,POODLE STANDARD
16233,DOBERMAN PINSCHER
11731,POMERANIAN
44141,LAB MIX
28273,SHIH TZU MIX
77904,COCKER SPANIEL
33913,SHIH TZU
40205,MIXED
16056,MIXED
28173,ENGLISH MASTIFF
19014,PARSON RUSSELL TERR
34233,COLLIE
6033,HAVANESE
16063,MALTESE
32207,MIXED
74133,MIXED
26508,WEIMARANER
29511,PARSON RUSSELL TERR
29485,DACHSHUND
15043,BORD COLLIE
15231,MIXED
40330,MIXED
49441,GOLDEN RETRIEVER
18930,SIB HUSKY
32137,LAB MIX
17111,W HGHLND WH TERRIER
15244,GER SHORTHAIR POINT
33442,JACK RUSSEL TERRIER
31520,DINGO
28025,GOLDEN RETRIEVER
28539,ENG SHEPHERD
15059,MIXED
16354,LABRADOR RETRIEVER
32168,WELSH CORGI PEMBROK
27606,LAB MIX
16229,LAB MIX
16127,LAB MIX
47909,CHIHUAHUA
15010,AM PIT BULL TERRIER
15021,ENG SPRINGER SPANIE
16424,LABRADOR RETRIEVER
16301,MIXED
27833,LABRADOR RETRIEVER
32828,BEAGLE
46205,LAB MIX
15062,SCHIPPERKE
10544,BOSTON TERRIER
87121,MORKIE
16033,MIXED
16105,BORD COLLIE MIX
92101,MIXED
28021,HAVANESE
33458,DACHSHUND MIX
15081,BEAGLE MIX
15009,GOLDEN RETRIEVER
33764,MIXED
1821,SIB HUSKY
15066,LABRADOR RETRIEVER
15656,MIXED
15675,STAFFORDSHIRE TERRI
16001,PEKINGESE
15038,SHIH TZU
15363,MIXED
16051,LABRADOR RETRIEVER
15670,BORD COLLIE
15665,COCKER SPANIEL
15230,BEAGLE
16002,GER SHORTHAIR POINT
23059,AM ESKIMO DOG
