ZipCode,DogName
15236,BELLA
15238,BELLA
15104,ROCKY
15139,LUNA
15129,BAILEY
15090,LUCY
15101,BELLA
15228,CHARLIE
15235,BELLA
15108,BELLA
15120,BELLA
15239,BELLA
15214,BELLA
15218,BELLA
15237,BELLA
15018,BUDDY
15025,BELLA
15017,MAX
15137,BELLA
15045,BUDDY
15131,BELLA
15136,BELLA
15205,BELLA
15122,BELLA
15234,BELLA
15057,CHARLIE
15241,BELLA
15147,BELLA
15135,BELLA
15044,BELLA
15126,BUDDY
15229,BELLA
15221,BUDDY
15102,LUCY
15202,BUDDY
15227,BELLA
15148,BELLA
15133,BUDDY
15209,BELLA
15146,MAX
15116,BELLA
15106,BELLA
15042,CISSIE BEAR
15068,DAISY
15220,BUDDY
15215,BELLA
15216,MAX
15212,MAGGIE
15143,BELLA
15144,MAX
15024,BUDDY
15065,BELLA
15223,MAX
15243,BELLA
15035,BELLA
15071,BELLA
15026,BELLA
15642,ELLIE
15132,BELLA
15632,MOLLY
15084,SADIE
15005,MURPHY
15037,BELLA
15051,BRANDY
15056,MOLLY
15085,COCO
16066,REMY
15007,BELLA
15332,SADIE
15226,BAILEY
15112,BUDDY
15030,ABBY
15142,BELLA
15034,LUCY
15003,BUDDY
16046,LUNA
73099,VANESSA
15225,CHARLIE
15014,WILLIE
15140,MOLLY
15046,BELLA
15110,BELLA
15063,ROCKY
15145,BELLA
15210,PENNY
15031,SOPHIE
15076,LUNA
15049,SOPHIE
15091,DAISY
15217,LILLI B
15668,BAILEY
15206,KODA
15028,LOLA
15015,BUSTER
15006,MILO
15232,JACK
97206,OTIS
15086,CODY
15061,OBERON
15367,BETTY WHITE
16059,COOPER
15047,TOBY
27523,FOSTER
60611,WRIGLEY
63017,SOCKS
14830,JERIMIAH
18705,BUGSY
29803,BRODY
84770,FRANKIE
43935,BAILEY
15233,MAX
15317,THEODORE
15082,NIKO
15032,LUCY
34205,GINGER
40205,LUIGI
29566,BUDDY
15203,REMY
16354,JAYCEE
28025,CASEY
46037,REESE
78130,MEEKA
15088,MOJO
29926,ROY BELL
15207,PATCH
15211,SOCKS
16143,BELLE
15064,NALA
15201,LUCY
48808,CHESTER
15222,BOGIE
28594,WILLOW
22508,MISTY
3102,WOLFIE
29410,WESSON
15613,RILEY
16259,SARACEN
15208,PENNY
27950,COOPER
16316,CHARLIE
32207,CLOVER
15127,HOLLY
15219,GOLDIE
16127,LUCY
16803,RILEY
16351,MURRAY
15001,COPPER
27833,LILLY
33767,BRONCO
77351,PEANUT
80130,HARLEY
34602,CHICHI
15020,PEANUT
15012,COCO
19014,LIBBY
33566,BAILEY
15083,BLU
15075,BUCK
26047,PEEKA
17111,MAGGIE
32224,PEACHES
16053,OZZY
32311,GRACIE
16233,SOPHIE
16229,SHOCKEY
16056,LUCY
15204,SHILO
16342,BEAR
15027,TUCKER
15301,TAMMY
16134,LUCY
34119,YUKI
15321,TOBY
49441,LUCY
23059,DUSTY
77904,BELLA
37604,ATLAS
15644,ADDIE
16113,VINNIE
29928,RUDY
28117,DARBY
44102,LEXI
15021,LEELOO
23451,SPENCER
16055,PIXY
34233,CHIEF
45102,STELLA
15134,SINAMON
15089,MICKY
74133,MOLLY
15767,BANDIT
10522,JAZMINE
15230,SAMMY
7885,ISABELA
2864,OLIVIA
17331,SOPHIE
15801,LEIA
34108,KEEPER
19438,CHARLIE
29679,JESSE
15244,KIKI LITTLES
32119,ONIS
20653,COLBY JACK
75010,FIEVEL
27603,LILY
29609,KODA
29036,ENZO
38632,DIESEL
15213,KING
43903,WILSON KIGER
32137,SEAMUS
15626,ROSIE
16216,JOSEY
37069,KORA
77386,JAX
15601,LOLA
15050,RAMSEY
2673,RUTHIE
28078,COOPER
77389,ARCHER
33426,DOBBY
15330,TANNER
32080,STORM
55126,CHIP
55379,JACK
19348,GRACIE
20171,GRADY
80303,SUNSHINE
8002,MILO
28539,BAILEY
29568,MYA HODDER
45039,JAYLA
48316,LILY
29486,XENA
15038,CHICO
27278,HARLEY
35907,EBENEZER
34292,SUNNY
29485,MAX 
29511,SNOOPY
11731,PUDDIN
55811,SAMMI JO
15224,MAGGIE
30248,NELLIE
30064,SAM
15656,PEANUT
26508,GYPSY
33319,CHOCO
28031,SADIE
31535,SHEP
15009,DOZER
27302,MARTY
28052,AXL
29466,CALI VON BIRKEN
17543,BOOMER
22701,LOUIE
34450,NIXIE
33917,THEODORE
30506,EINSTEIN
16424,HATTIE
17070,FIONA
15128,FAITH
33606,RYDER
84105,NINA
80109,BONNY
16051,REMINGTON
46933,CLARENCE
16105,ZASHA
27606,GRYPHON
16137,CHLOE ROSS
6089,GASTSBY
15636,GRACIE
74864,MAX
34293,TESS
17034,CHARLIE
31520,LAHLA
16002,RILEY
27518,DUKE
44141,TULIP
15678,TALBOT
58801,AUDI
