ZipCode,DogName
15102,BELLA
15220,BUDDY
15116,SADIE
15032,JASMIN
15101,BELLA
15237,BELLA
15106,BELLA
15068,MOLLY
15235,BELLA
15122,BELLA
15239,BELLA
15221,BELLA
15017,DAISY
16059,COOPER
15063,DAISY
15205,BELLA
15216,CHARLIE
15209,BELLA
15227,BELLA
15126,BELLA
15030,MAX
15236,BELLA
15129,COOPER
15202,BUDDY
15025,BELLA
15143,BELLA
15241,BELLA
15214,BELLA
15108,BELLA
15137,BELLA
15136,BELLA
15146,BELLA
15014,MOLLY
15057,SADIE
15015,MAX
15243,BELLA
15084,SADIE
15147,BUDDY
15229,BELLA
15131,BELLA
15071,BELLA
15218,CHARLIE
15037,BELLA
15120,BELLA
15234,BELLA
15065,BELLA
15133,BUDDY
15238,BELLA
15212,BELLA
15215,BELLA
15035,SADIE
15090,BAILEY
15228,LUCY
15045,BELLA
15139,BAILEY
15044,BAILEY
15024,MAX
15233,DAISY
15046,BELLA
15127,ANNIE
15223,MAX
15145,BELLA
16046,ROCKY
15026,BELLA
15132,BELLA
15144,BELLA
15049,CHLOE
15018,BUDDY
15005,BEAR
15207,ROSE
15225,TACO
15135,BELLA
15056,MOLLY
15104,ROCKY
15332,TUCKER
15110,BELLA
15801,UNA PIAZZA
15527,SMOKEY
15210,PENNY
15112,BUDDY
15226,BAILEY
15140,DAISY
15020,PEANUT
15047,SPADE
15142,CHLOE
15051,CHARLIE
15082,MAX
15028,LOLA
15201,SOCKS
15003,BUDDY
15086,SIDNEY
15007,TINKERBELL
15224,BAMBI
15217,LAKOTA
15012,LOLA
15038,CHICO
15232,KODIAK
15085,FRANCESCA
15088,CHARLIE
15213,BONZO
15148,ROCKY
15076,BAILEY
15206,OLIVER
15083,SAM
15064,NALA
15203,TICKY
15204,ACAI
15034,GRACIE
15031,CHARLIE
15134,BUDDY
15091,DAISY
15006,DAKOTA
92782,SYDNEY
15222,GRACIE
15208,CROSBY
15636,GRACIE
16229,SHOCKEY
15321,TOBY
15211,LEVI
15613,BEELA
15632,MOLLY
15668,MURPHY
15642,LUCCA
15061,GRACIE
15219,MAXIMUS
37604,ATLAS
15301,PEANUT
15009,DOZER
15074,SOPHIE
15042,INDY
15601,ARROW
15646,LUCY
15644,BUCCO
43155,ELLIE
15055,GRADY
34997,DAISY
16056,LUCY
15075,KING
15230,JAYDA
15244,FENWAY
15115,MAY
15459,PUMPKIN
15022,ARI
16066,GUS GOODMAN
43920,GRACE
15317,JOJO
15001,TALLULAH
15089,LJ
16354,JAYCEE
15275,SOCKS
15066,YOGI
33407,ROMEO
44420,BLAKE
10011,EVANGELINE
44224,CHASE
15282,WALLACE
16351,MURRAY
34119,YUKI
16002,PARKER
18705,BUGSY
