ZipCode,DogName
15136,BUDDY
15236,MAX
15108,BUDDY
15228,MAX
15068,MAGGIE
15146,BUDDY
15137,MAX
15116,BAILEY
15104,COCO
15227,MAX
15143,DAISY
15237,BUDDY
15229,MAX
15037,BUDDY
15238,MAX
15044,BUDDY
15045,BUDDY
15084,BUDDY
15106,BUDDY
15101,MAX
15202,BUDDY
15235,MAX
15220,BUDDY
15212,SADIE
15065,MAX
15209,MAGGIE
15205,BUDDY
15025,BAILEY
15221,MAX
15216,BUDDY
15218,SADIE
15239,MAX
15102,BUDDY
15017,MAX
15215,MAX
15147,BUDDY
15071,BUDDY
15132,BUDDY
15026,GINGER
15241,MAX
15120,BUDDY
15133,MAX
15122,BUDDY
15057,BUDDY
15031,SHADOW
15223,BUDDY
15210,LADY
15131,BUDDY
15024,MAX
15234,BUDDY
15144,JAKE
15145,SHADOW
32081,ROXY
15140,MAX
15090,BAILEY
15135,MAX
15129,MAX
15049,BUDDY
15203,SADIE
15332,BAILEY
15243,BUDDY
15112,BUDDY
15206,HARLEY
15214,MAX
15063,BUDDY
15007,SCOUT
15014,LADY
15139,MAGGIE
15047,BUDDY
15201,YUKON 
15110,BUDDY
15015,LUCY
15030,BAILEY
15003,MAGGIE
15126,BUDDY
15225,CUDDLES
15046,DAISY
15076,BUDDY
15211,TANNER
15142,CHLOE
15083,JACK
15148,MAX
15035,BUDDY
15082,BUDDY
15034,LUCY
15018,DAKOTA
15232,PENNY
15056,ANGEL
15226,CHLOE
15064,BELLA
15088,BUDDY
16046,MAX
16059,TEDDY
15207,DUKE
15321,BUBBA
15005,TEDDY
15085,BELLA
15062,ZHA ZHA
15020,LADY J
77351,PEANUT
15127,KRAMER
29928,REX
15091,MOLLY
15626,SHELBY
15134,BUDDY
15051,PEANUT
15217,JACK
15208,BOOMER
15028,BUDDY
15075,HARLEY
35907,BABA
15219,PRUDENCE CHEYNNE
30064,KAKO
15086,LUKE
15006,BARNEY
15668,COPPER
15222,SAMMY
16233,MAXIMUS
15317,CHARLIE
15642,MISTY
19020,SNICKERS
23059,TOBY
15032,BETSY
15330,BAILEY
15001,GRACIE
15012,MURPHY
15043,TIMBER
34108,KEEPER
74133,OLIVER
15224,REX
17070,MOLLY
29566,MOE
15204,PUGSLEY
16342,BEAR
40205,MIKEY
26047,PEEKA
11731,PUDDIN
26508,TOBEY
15042,INDY
15301,SKIPPY
16424,BUFFY
33566,RUFFIAN
16066,MOLLY
15213,JOHNNY RAY
20171,GRADY
15089,COLT
15634,ACE
15059,HOWIE BUBBA
15601,BUTCHIE
15636,KELSEY
15066,MUGGS
15233,ANGEL
15061,JUNIOR
30248,NELLIE
29511,JACK
16105,OREO
16354,LADY
29485,MAX 
15367,MANDY ALLEN
17111,SUZIE
28025,CISCO
32224,MUFFIN
16055,PIXY
15901,K C
14830,ANGEL
28594,ELLIE
13027,ANGLE CHARMIN
28539,MAISY
28273,MICKY
21401,SCHMIDTY
15021,LILLY
28117,ROSE
34233,CHIEF
15767,DAPHINE
15244,DAKOTAH
32311,LOUIE 2
47126,JAKE
46037,PRINCESS PIXIE
15231,FROSTY PUP
15331,DEZDAMONA
16137,MIA
77904,TYLER
16127,BUDDY
16033,HIGGINS
15016,RUGBY
32506,POKEY
16056,COCO
92101,MORGAN
15230,CANDI
15052,TOBY
33410,NEO
1821,SIENNA
15109,BENJAMIN
92782,SYDNEY
33426,ANGEL
16229,SCOOBY
18930,ALASKA
15363,ANGEL
31520,LAHLA
33458,ROSCOE
15009,HONEY GRAHAM
44241,GIBSON
27606,MAXWELL
98155,SAM
15502,BRUNO FAULKNER
33913,MOKO
16053,DEXTER
74864,HUNTER
44141,BLAZER
15081,MIRAGE
28021,GEORGE
15107,MOLLY
15656,BUBBA
33442,REX
32207,CLOVER
6033,BLANCA DINGMANN
15675,BEAR
